Name,Year,Gender,State,Count
John,1997,M,AK,58
John,1998,M,AK,44
John,1999,M,AK,50
John,2000,M,AK,49
John,2001,M,AK,40
John,2002,M,AK,38
John,2003,M,AK,39
John,2004,M,AK,38
John,2005,M,AK,44
John,2006,M,AK,41
John,2007,M,AK,38
John,2008,M,AK,37
John,2009,M,AK,24
John,2010,M,AK,29
John,2011,M,AK,23
John,2012,M,AK,18
John,2013,M,AK,35
John,2014,M,AK,34
John,1997,M,AL,442
John,1998,M,AL,428
John,1999,M,AL,469
John,2000,M,AL,425
John,2001,M,AL,408
John,2002,M,AL,378
John,2003,M,AL,390
John,2004,M,AL,422
John,2005,M,AL,386
John,2006,M,AL,371
John,2007,M,AL,377
John,2008,M,AL,372
John,2009,M,AL,305
John,2010,M,AL,304
John,2011,M,AL,275
John,2012,M,AL,280
John,2013,M,AL,281
John,2014,M,AL,332
John,1997,M,AR,215
John,1998,M,AR,207
John,1999,M,AR,178
John,2000,M,AR,195
John,2001,M,AR,192
John,2002,M,AR,169
John,2003,M,AR,202
John,2004,M,AR,160
John,2005,M,AR,150
John,2006,M,AR,167
John,2007,M,AR,163
John,2008,M,AR,155
John,2009,M,AR,135
John,2010,M,AR,117
John,2011,M,AR,125
John,2012,M,AR,105
John,2013,M,AR,120
John,2014,M,AR,125
John,1997,M,AZ,265
John,1998,M,AZ,269
John,1999,M,AZ,276
John,2000,M,AZ,229
John,2001,M,AZ,248
John,2002,M,AZ,243
John,2003,M,AZ,258
John,2004,M,AZ,237
John,2005,M,AZ,226
John,2006,M,AZ,222
John,2007,M,AZ,239
John,2008,M,AZ,242
John,2009,M,AZ,180
John,2010,M,AZ,172
John,2011,M,AZ,161
John,2012,M,AZ,166
John,2013,M,AZ,137
John,2014,M,AZ,161
John,1997,F,CA,5
John,2004,F,CA,5
John,2005,F,CA,5
John,1997,M,CA,1841
John,1998,M,CA,1731
John,1999,M,CA,1760
John,2000,M,CA,1658
John,2001,M,CA,1578
John,2002,M,CA,1432
John,2003,M,CA,1444
John,2004,M,CA,1420
John,2005,M,CA,1345
John,2006,M,CA,1336
John,2007,M,CA,1154
John,2008,M,CA,1143
John,2009,M,CA,1028
John,2010,M,CA,959
John,2011,M,CA,906
John,2012,M,CA,904
John,2013,M,CA,911
John,2014,M,CA,907
John,1997,M,CO,268
John,1998,M,CO,281
John,1999,M,CO,275
John,2000,M,CO,281
John,2001,M,CO,234
John,2002,M,CO,243
John,2003,M,CO,237
John,2004,M,CO,223
John,2005,M,CO,233
John,2006,M,CO,202
John,2007,M,CO,187
John,2008,M,CO,207
John,2009,M,CO,168
John,2010,M,CO,151
John,2011,M,CO,158
John,2012,M,CO,143
John,2013,M,CO,166
John,2014,M,CO,142
John,1997,M,CT,357
John,1998,M,CT,333
John,1999,M,CT,410
John,2000,M,CT,325
John,2001,M,CT,342
John,2002,M,CT,291
John,2003,M,CT,298
John,2004,M,CT,283
John,2005,M,CT,249
John,2006,M,CT,238
John,2007,M,CT,205
John,2008,M,CT,194
John,2009,M,CT,159
John,2010,M,CT,135
John,2011,M,CT,172
John,2012,M,CT,148
John,2013,M,CT,127
John,2014,M,CT,136
John,1997,M,DC,102
John,1998,M,DC,93
John,1999,M,DC,89
John,2000,M,DC,113
John,2001,M,DC,100
John,2002,M,DC,78
John,2003,M,DC,80
John,2004,M,DC,96
John,2005,M,DC,97
John,2006,M,DC,69
John,2007,M,DC,90
John,2008,M,DC,74
John,2009,M,DC,55
John,2010,M,DC,58
John,2011,M,DC,53
John,2012,M,DC,64
John,2013,M,DC,70
John,2014,M,DC,71
John,1997,M,DE,76
John,1998,M,DE,72
John,1999,M,DE,82
John,2000,M,DE,85
John,2001,M,DE,70
John,2002,M,DE,78
John,2003,M,DE,81
John,2004,M,DE,63
John,2005,M,DE,63
John,2006,M,DE,67
John,2007,M,DE,63
John,2008,M,DE,58
John,2009,M,DE,41
John,2010,M,DE,46
John,2011,M,DE,36
John,2012,M,DE,47
John,2013,M,DE,46
John,2014,M,DE,37
John,1997,M,FL,1036
John,1998,M,FL,1014
John,1999,M,FL,943
John,2000,M,FL,1000
John,2001,M,FL,931
John,2002,M,FL,854
John,2003,M,FL,862
John,2004,M,FL,825
John,2005,M,FL,832
John,2006,M,FL,750
John,2007,M,FL,777
John,2008,M,FL,716
John,2009,M,FL,651
John,2010,M,FL,587
John,2011,M,FL,551
John,2012,M,FL,510
John,2013,M,FL,512
John,2014,M,FL,486
John,1997,M,GA,736
John,1998,M,GA,710
John,1999,M,GA,728
John,2000,M,GA,805
John,2001,M,GA,756
John,2002,M,GA,672
John,2003,M,GA,680
John,2004,M,GA,637
John,2005,M,GA,612
John,2006,M,GA,605
John,2007,M,GA,593
John,2008,M,GA,569
John,2009,M,GA,524
John,2010,M,GA,495
John,2011,M,GA,442
John,2012,M,GA,436
John,2013,M,GA,469
John,2014,M,GA,434
John,1997,M,HI,52
John,1998,M,HI,61
John,1999,M,HI,54
John,2000,M,HI,41
John,2001,M,HI,33
John,2002,M,HI,31
John,2003,M,HI,40
John,2004,M,HI,44
John,2005,M,HI,36
John,2006,M,HI,25
John,2007,M,HI,40
John,2008,M,HI,39
John,2009,M,HI,44
John,2010,M,HI,44
John,2011,M,HI,40
John,2012,M,HI,30
John,2013,M,HI,36
John,2014,M,HI,31
John,1997,M,IA,164
John,1998,M,IA,136
John,1999,M,IA,136
John,2000,M,IA,129
John,2001,M,IA,109
John,2002,M,IA,101
John,2003,M,IA,87
John,2004,M,IA,106
John,2005,M,IA,102
John,2006,M,IA,101
John,2007,M,IA,84
John,2008,M,IA,87
John,2009,M,IA,68
John,2010,M,IA,81
John,2011,M,IA,66
John,2012,M,IA,67
John,2013,M,IA,85
John,2014,M,IA,83
John,1997,M,ID,63
John,1998,M,ID,69
John,1999,M,ID,58
John,2000,M,ID,54
John,2001,M,ID,45
John,2002,M,ID,50
John,2003,M,ID,50
John,2004,M,ID,45
John,2005,M,ID,56
John,2006,M,ID,37
John,2007,M,ID,51
John,2008,M,ID,39
John,2009,M,ID,44
John,2010,M,ID,49
John,2011,M,ID,30
John,2012,M,ID,50
John,2013,M,ID,40
John,2014,M,ID,35
John,1997,M,IL,1046
John,1998,M,IL,979
John,1999,M,IL,886
John,2000,M,IL,923
John,2001,M,IL,861
John,2002,M,IL,834
John,2003,M,IL,755
John,2004,M,IL,714
John,2005,M,IL,752
John,2006,M,IL,683
John,2007,M,IL,605
John,2008,M,IL,541
John,2009,M,IL,508
John,2010,M,IL,470
John,2011,M,IL,470
John,2012,M,IL,456
John,2013,M,IL,407
John,2014,M,IL,430
John,1997,M,IN,397
John,1998,M,IN,385
John,1999,M,IN,349
John,2000,M,IN,359
John,2001,M,IN,330
John,2002,M,IN,308
John,2003,M,IN,338
John,2004,M,IN,272
John,2005,M,IN,266
John,2006,M,IN,280
John,2007,M,IN,264
John,2008,M,IN,254
John,2009,M,IN,217
John,2010,M,IN,196
John,2011,M,IN,198
John,2012,M,IN,189
John,2013,M,IN,184
John,2014,M,IN,206
John,1997,M,KS,169
John,1998,M,KS,162
John,1999,M,KS,179
John,2000,M,KS,150
John,2001,M,KS,153
John,2002,M,KS,136
John,2003,M,KS,158
John,2004,M,KS,139
John,2005,M,KS,100
John,2006,M,KS,121
John,2007,M,KS,119
John,2008,M,KS,111
John,2009,M,KS,118
John,2010,M,KS,99
John,2011,M,KS,81
John,2012,M,KS,102
John,2013,M,KS,95
John,2014,M,KS,103
John,2004,F,KY,45
John,1997,M,KY,384
John,1998,M,KY,372
John,1999,M,KY,325
John,2000,M,KY,340
John,2001,M,KY,310
John,2002,M,KY,300
John,2003,M,KY,298
John,2004,M,KY,216
John,2005,M,KY,244
John,2006,M,KY,269
John,2007,M,KY,222
John,2008,M,KY,212
John,2009,M,KY,210
John,2010,M,KY,193
John,2011,M,KY,182
John,2012,M,KY,183
John,2013,M,KY,186
John,2014,M,KY,173
John,1997,M,LA,350
John,1998,M,LA,341
John,1999,M,LA,343
John,2000,M,LA,325
John,2001,M,LA,287
John,2002,M,LA,293
John,2003,M,LA,272
John,2004,M,LA,273
John,2005,M,LA,265
John,2006,M,LA,252
John,2007,M,LA,240
John,2008,M,LA,195
John,2009,M,LA,231
John,2010,M,LA,214
John,2011,M,LA,214
John,2012,M,LA,178
John,2013,M,LA,207
John,2014,M,LA,229
John,1997,M,MA,796
John,1998,M,MA,746
John,1999,M,MA,802
John,2000,M,MA,814
John,2001,M,MA,731
John,2002,M,MA,655
John,2003,M,MA,616
John,2004,M,MA,539
John,2005,M,MA,519
John,2006,M,MA,482
John,2007,M,MA,433
John,2008,M,MA,442
John,2009,M,MA,395
John,2010,M,MA,345
John,2011,M,MA,376
John,2012,M,MA,323
John,2013,M,MA,346
John,2014,M,MA,323
John,1997,M,MD,490
John,1998,M,MD,460
John,1999,M,MD,459
John,2000,M,MD,424
John,2001,M,MD,399
John,2002,M,MD,393
John,2003,M,MD,355
John,2004,M,MD,354
John,2005,M,MD,309
John,2006,M,MD,333
John,2007,M,MD,306
John,2008,M,MD,277
John,2009,M,MD,251
John,2010,M,MD,233
John,2011,M,MD,236
John,2012,M,MD,182
John,2013,M,MD,210
John,2014,M,MD,189
John,1997,M,ME,55
John,1998,M,ME,60
John,1999,M,ME,78
John,2000,M,ME,53
John,2001,M,ME,53
John,2002,M,ME,53
John,2003,M,ME,55
John,2004,M,ME,45
John,2005,M,ME,46
John,2006,M,ME,31
John,2007,M,ME,26
John,2008,M,ME,34
John,2009,M,ME,34
John,2010,M,ME,30
John,2011,M,ME,29
John,2012,M,ME,26
John,2013,M,ME,31
John,2014,M,ME,36
John,1997,M,MI,605
John,1998,M,MI,579
John,1999,M,MI,520
John,2000,M,MI,535
John,2001,M,MI,505
John,2002,M,MI,438
John,2003,M,MI,437
John,2004,M,MI,436
John,2005,M,MI,396
John,2006,M,MI,359
